datetime,access1-0_rcp45_r1i1p1,access1-0_rcp85_r1i1p1,bcc-csm1-1-m_rcp45_r1i1p1,bcc-csm1-1-m_rcp85_r1i1p1,bcc-csm1-1_rcp26_r1i1p1,bcc-csm1-1_rcp45_r1i1p1,bcc-csm1-1_rcp60_r1i1p1,bcc-csm1-1_rcp85_r1i1p1,canesm2_rcp26_r1i1p1,canesm2_rcp45_r1i1p1,canesm2_rcp85_r1i1p1,ccsm4_rcp26_r1i1p1,ccsm4_rcp45_r1i1p1,ccsm4_rcp60_r1i1p1,ccsm4_rcp85_r1i1p1,cesm1-bgc_rcp45_r1i1p1,cesm1-bgc_rcp85_r1i1p1,cesm1-cam5_rcp26_r1i1p1,cesm1-cam5_rcp45_r1i1p1,cesm1-cam5_rcp60_r1i1p1,cesm1-cam5_rcp85_r1i1p1,cmcc-cm_rcp45_r1i1p1,cmcc-cm_rcp85_r1i1p1,cnrm-cm5_rcp45_r1i1p1,cnrm-cm5_rcp85_r1i1p1,csiro-mk3-6-0_rcp26_r1i1p1,csiro-mk3-6-0_rcp45_r1i1p1,csiro-mk3-6-0_rcp60_r1i1p1,csiro-mk3-6-0_rcp85_r1i1p1,fgoals-g2_rcp26_r1i1p1,fgoals-g2_rcp45_r1i1p1,fgoals-g2_rcp85_r1i1p1,fio-esm_rcp26_r1i1p1,fio-esm_rcp45_r1i1p1,fio-esm_rcp60_r1i1p1,fio-esm_rcp85_r1i1p1,gfdl-cm3_rcp26_r1i1p1,gfdl-cm3_rcp45_r1i1p1,gfdl-cm3_rcp60_r1i1p1,gfdl-cm3_rcp85_r1i1p1,gfdl-esm2g_rcp26_r1i1p1,gfdl-esm2g_rcp45_r1i1p1,gfdl-esm2g_rcp60_r1i1p1,gfdl-esm2g_rcp85_r1i1p1,gfdl-esm2m_rcp26_r1i1p1,gfdl-esm2m_rcp45_r1i1p1,gfdl-esm2m_rcp60_r1i1p1,gfdl-esm2m_rcp85_r1i1p1,giss-e2-h-cc_rcp45_r1i1p1,giss-e2-r-cc_rcp45_r1i1p1,giss-e2-r_rcp26_r1i1p1,giss-e2-r_rcp45_r1i1p1,giss-e2-r_rcp60_r1i1p1,giss-e2-r_rcp85_r1i1p1,hadgem2-ao_rcp26_r1i1p1,hadgem2-ao_rcp45_r1i1p1,hadgem2-ao_rcp60_r1i1p1,hadgem2-ao_rcp85_r1i1p1,hadgem2-cc_rcp45_r1i1p1,hadgem2-cc_rcp85_r1i1p1,hadgem2-es_rcp26_r1i1p1,hadgem2-es_rcp45_r1i1p1,hadgem2-es_rcp60_r1i1p1,hadgem2-es_rcp85_r1i1p1,inmcm4_rcp45_r1i1p1,inmcm4_rcp85_r1i1p1,ipsl-cm5a-mr_rcp26_r1i1p1,ipsl-cm5a-mr_rcp45_r1i1p1,ipsl-cm5a-mr_rcp60_r1i1p1,ipsl-cm5a-mr_rcp85_r1i1p1,ipsl-cm5b-lr_rcp45_r1i1p1,ipsl-cm5b-lr_rcp85_r1i1p1,miroc5_rcp26_r1i1p1,miroc5_rcp45_r1i1p1,miroc5_rcp60_r1i1p1,miroc5_rcp85_r1i1p1,miroc-esm-chem_rcp26_r1i1p1,miroc-esm-chem_rcp45_r1i1p1,miroc-esm-chem_rcp60_r1i1p1,miroc-esm-chem_rcp85_r1i1p1,miroc-esm_rcp26_r1i1p1,miroc-esm_rcp45_r1i1p1,miroc-esm_rcp60_r1i1p1,miroc-esm_rcp85_r1i1p1,mpi-esm-lr_rcp26_r1i1p1,mpi-esm-lr_rcp45_r1i1p1,mpi-esm-lr_rcp85_r1i1p1,mpi-esm-mr_rcp26_r1i1p1,mpi-esm-mr_rcp45_r1i1p1,mpi-esm-mr_rcp85_r1i1p1,mri-cgcm3_rcp26_r1i1p1,mri-cgcm3_rcp45_r1i1p1,mri-cgcm3_rcp85_r1i1p1,noresm1-m_rcp26_r1i1p1,noresm1-m_rcp45_r1i1p1,noresm1-m_rcp60_r1i1p1,noresm1-m_rcp85_r1i1p1
2000-10-01,631.4740353,262.001255757,1669.05103851,682.924779015,265.310181371,355.913037417,289.384859017,263.82965906,101.794413052,237.833057451,205.328369902,994.520447912,655.197876583,653.341665015,1199.54491038,73.2164031825,77.0981552421,419.232852187,276.045103667,263.588151622,251.057632635,162.095543529,422.130068711,68.0164759185,77.7392329269,277.07644912,201.425255859,149.552865864,172.83044599,346.79147049,402.07084891,329.036925066,148.574280742,107.778386595,121.56001963,104.404363461,332.34618787,473.162141352,442.909348014,261.891470633,262.861149971,141.33102125,126.750604745,262.769692119,45.5665387662,48.1703800842,49.2976858674,28.6284297039,360.454035757,125.936846069,229.299312011,244.2256062,206.473249239,244.069685539,189.346274061,209.094287251,117.908786578,201.482498834,257.629764855,304.71887552,259.677897083,298.601711894,246.577546692,251.170710321,538.092931325,430.168640598,69.5526345936,39.0417916698,33.5430346543,31.6557222607,396.204515035,822.736302747,418.51884227,575.440084981,350.861334946,234.201064068,465.648257067,215.016832696,384.857810922,336.666802739,128.065745239,205.531497175,70.2499238486,134.697401426,103.439999826,137.655768363,130.180859285,736.6148219,441.175238926,582.236984143,791.647436683,614.696210535,407.018637331,293.723622646,401.846319984,649.12780056,437.284124883
2001-10-01,90.9457386898,80.1459965593,880.074147278,545.173070156,184.804998036,243.912396283,185.824244315,258.109348326,14.695080967,26.4858049141,114.140171709,525.105757793,765.658808628,1237.42764089,669.095007138,793.982378828,554.663899892,1661.84635753,1469.95366364,1312.52483085,1733.65447642,188.564211253,204.428112052,413.514108395,452.241579404,499.769176018,652.288303034,649.592746014,633.432673313,1310.69942259,712.128574007,1347.25191839,570.116944494,451.672997586,953.841360377,1667.17951455,116.91552377,156.509434447,141.688760092,122.039424588,141.765619596,374.954815898,150.105044375,180.937229447,483.655397533,515.668739627,441.004124877,323.522815984,1669.9888038,297.514055697,254.138161556,353.64031676,283.242287126,290.036627611,236.54070704,104.905903956,114.491622948,153.197811312,496.731093378,518.892871853,244.564026034,139.376806377,461.834022363,203.510736847,957.81580004,1231.03310867,144.966168351,97.5802907448,128.510141932,87.6446477863,69.5927602134,56.7608131276,522.438623914,793.921605275,791.762815196,875.27285803,452.949797584,273.810485489,337.751344886,163.311034436,412.78557947,398.081751396,165.186703854,249.385427679,414.751873682,587.014650251,381.865982828,118.905718808,152.710393131,111.77190725,139.602783236,89.314254395,254.676396265,61.8479998958,98.9251238004,86.1277486153,135.098617954
2002-10-01,240.837758272,397.440515033,960.111786813,908.819760453,450.535516597,305.556872213,487.994220666,346.857738259,311.663563112,139.81063117,223.895662433,453.944012459,558.25267344,229.904905398,248.314611152,754.641995423,424.587529864,277.001335071,253.09977478,376.472845647,312.776330052,225.718293835,197.536105452,203.919133541,182.132548454,158.112971635,145.221480747,130.293857632,223.446445905,747.939568988,1271.77959455,763.186788797,181.731470768,182.385222833,373.491708462,252.50157974,1434.34748188,1003.82641814,1113.94926755,1363.56602746,1160.93188565,1057.70322467,1843.08858533,1032.03391562,464.852230622,341.079728351,413.173843932,468.832005822,69.3677949245,674.535906302,126.860826233,120.90692211,126.463140283,100.871583301,278.341725151,269.155695415,355.83603907,189.296389764,344.265182891,343.921725041,140.440085714,148.669963386,459.381519888,124.45271384,334.022439107,340.828541575,44.3011635618,95.0471800052,48.3291371087,59.593824693,321.240277145,179.312409615,627.6766601,447.383840569,340.886300252,305.147582957,295.402194544,515.323595826,466.761619049,680.377228606,326.260878789,456.034749645,379.082101841,419.730207558,410.056382781,306.178868906,606.135906417,270.737097065,282.796085474,298.093685448,651.208541052,338.243563067,330.802313493,503.448435516,348.969877098,348.947602718,484.027833896
2003-10-01,180.074855895,154.447298913,496.692078502,448.922815773,270.677553263,387.121328274,646.382339407,292.983787936,287.743397863,287.606716871,555.717301544,548.721757754,654.068289808,385.849308441,298.406657349,232.919602914,235.67779795,464.699424011,567.693737887,273.763893754,296.30883917,260.818789643,229.32541449,242.432230997,247.627219418,412.983827404,243.952859093,263.267721871,767.197525981,307.782346589,797.797525929,546.899384203,716.972230198,757.409294592,582.605751085,1144.73845096,187.223583156,213.773295508,233.426022747,234.839880596,200.659893877,317.507602771,288.581652407,248.053407847,126.161255986,74.5180957423,116.648092366,141.456535299,230.543583083,223.494921938,189.535794722,172.276006321,198.158736856,254.175252465,656.160197242,789.377155695,584.386808933,644.398332799,1082.63301636,670.546431929,188.051047617,194.988495539,139.315755137,132.263365067,175.310003011,134.40234027,273.677136729,213.004819476,170.15817492,254.828528496,225.222108712,208.593044277,407.393434025,541.399556113,635.623912979,524.254928043,539.923774297,752.936289641,381.68758944,353.089725025,390.611622483,355.996343202,277.911430937,277.945090441,187.884812907,218.133678972,164.772892285,1324.05080108,668.719000527,448.907800897,159.726644359,271.808786319,276.45530532,378.856739858,378.687986139,346.008713467,413.605843932
2004-10-01,662.593526157,388.989321659,982.155231404,705.673684762,130.918472507,138.783193155,124.020872518,134.628475806,651.799417084,730.273228522,688.762570741,216.686280627,315.47684575,264.823080546,257.25306403,754.183059887,820.626643246,140.421480755,162.521771627,327.930128373,208.153606261,155.533308829,275.629288792,171.999768305,217.123159965,1112.26175019,613.677678305,679.974326128,1139.60687411,194.297275706,455.589341382,255.020191306,547.792878416,281.550763162,475.122266968,315.842320129,221.106902107,223.328627723,163.736885675,167.117593107,368.011516736,254.409976431,368.901024172,289.782782983,396.065434044,438.808422402,681.499258356,499.29937106,210.705341794,151.879219579,303.362260646,310.546849064,263.744845837,183.030703824,548.716660233,522.628699946,437.430187693,551.923278409,1023.67416026,745.351099571,275.11828714,229.116753333,124.568389873,152.056581562,169.372085665,144.539979922,117.800132033,153.536647675,126.048654333,155.954994779,206.547530231,221.216964917,357.838650637,245.822895454,222.83105417,236.942221089,439.951814135,734.274266532,460.40810501,622.511205563,238.293103731,337.383887035,413.227100131,423.071979453,648.518775767,717.003767388,548.022980895,265.507616082,265.472012776,382.502082,506.284838817,363.547734925,448.538676931,148.488733634,144.582941905,318.073348225,155.072984863
2005-10-01,320.414815989,828.61606472,45.406869345,91.4540229865,231.57671366,677.100554232,177.304164991,413.287377816,363.478174595,303.175397837,226.323252511,298.999120158,219.145626077,442.137480247,611.87688492,405.457546425,261.87389708,389.715767939,608.622346083,380.17439936,278.196376391,308.010485432,201.682571561,178.092178212,386.641566291,509.607549555,941.690438084,463.071648807,835.033565536,207.427933535,152.239893959,307.275173036,801.885757327,478.762134731,372.687688629,309.380766421,151.85345429,276.697308625,358.56313328,840.851026683,341.273116781,182.417474073,294.403655703,97.4227238029,755.706782198,126.11264111,165.024138565,96.8271667791,445.929797596,184.627477375,499.023985937,619.830762593,477.582742997,558.264554432,154.293143542,473.279027302,200.760376521,234.732455803,152.879206354,15.1906115447,251.053784701,316.157096988,568.760151108,359.435563031,673.296931098,1441.03778931,896.827178655,83.9823866354,54.0448065206,297.573103631,370.83227045,166.323986497,118.859722114,47.7989949608,165.298214598,193.33947736,783.250808598,682.049493066,355.381010972,970.031621507,318.944131694,256.211305354,370.217215905,342.940244051,312.63484906,387.522346455,194.07518645,436.724726537,207.332369899,263.261414433,431.673995967,266.548898725,216.658690544,223.342194665,140.480746871,40.5789420804,510.640342942
2006-10-01,174.757725326,267.60198302,111.001844441,114.052482453,318.120078803,403.114551387,223.504125243,235.541731835,423.662756311,51.6202709875,90.0477419971,385.790081995,118.895979965,369.451239047,699.220342624,399.881711723,113.293566751,401.68962577,439.440276946,190.516145134,220.994657479,200.352079001,343.894511818,376.916726638,572.510101515,748.657883037,1561.94657588,31.3839470546,147.580303884,114.158320469,192.471450916,1030.80194207,549.975053619,184.724191424,167.153989801,883.157849752,71.1298312852,587.990498183,542.464303219,489.812706613,857.696924175,224.395516977,258.650578077,337.06234654,340.993169674,1412.84360093,310.501070551,691.10616082,359.072806007,433.621804228,423.111410858,213.87873683,168.787893931,114.115675841,129.209236146,378.446359693,112.261923778,580.339536213,278.509526804,220.230267398,1090.71312213,262.362088814,166.071490629,17.5374743506,1451.93662565,730.346140919,203.398750071,189.035940178,225.093321935,183.660812914,28.2192197872,321.060574666,659.329486493,214.211880631,291.393996204,132.295497298,251.817559907,197.992660824,308.19982758,733.194068187,701.91104014,591.897718012,506.154048734,970.357922333,222.080786403,266.153870626,272.361619376,138.55209894,1049.29201807,567.939331275,295.834492064,326.305863913,172.118141859,298.618432555,442.855377767,102.841626273,593.028197348
2007-10-01,78.4745849918,248.979768176,543.286134622,325.194564742,84.3836229984,681.773195546,351.570207672,81.266479202,233.456429359,374.665586146,90.2452758811,276.153163171,9.74243304144,553.239132953,520.174987554,141.742829513,395.612012557,771.153182172,214.655999639,343.166300249,172.365044338,159.775993119,326.556693665,1052.30435525,21.317216493,70.8023007072,63.8067172479,208.387397996,578.639522993,381.26868035,748.156302872,117.316184926,166.450888976,288.169050754,721.42111614,279.654168124,238.81078968,472.634478543,458.05668022,563.879463513,536.987741244,361.071629144,502.059827254,21.4162313689,353.323397752,64.8382213784,830.400256453,50.4035304936,233.970128532,323.770254,203.3079666,134.10954027,415.695490209,640.957129499,517.72682888,152.793679082,419.482809211,94.2372295934,805.198511041,137.651285719,56.6250643675,380.642815888,196.896118677,247.772548343,741.012950818,146.42078653,55.4057056918,105.19114693,339.975410998,592.053876689,270.266617727,126.17571549,196.202816199,397.911331561,443.103609171,270.533890454,109.56692213,105.30222131,320.363483758,299.488224289,158.760336923,245.26165248,18.4730974896,593.117394043,281.101844155,142.456244388,1006.39408095,77.9883370587,334.882095304,414.69750674,350.140263873,259.836673943,246.836349998,273.66783425,62.4676560932,434.805896788,107.258280811
2008-10-01,163.179312122,173.321950121,920.413505888,810.348474668,88.777745305,394.675992724,90.5014808393,47.92863463,302.027483789,863.041982018,1117.26160473,359.672746502,141.773513811,13.3943404733,103.639854371,908.824957147,496.86263718,248.413110325,163.746446005,552.043694938,105.180059327,416.15343401,318.233573018,489.967377687,438.570306699,140.212601417,199.416118672,668.818273254,227.906399616,459.640779391,147.483331983,210.000634357,44.2686544709,281.970782996,290.69865075,492.572904956,427.554624073,468.759609128,437.950848849,299.324131727,399.473949741,363.999371288,129.55586755,146.085222894,303.114901969,277.698941681,155.430862548,278.708409448,113.124456008,368.326650619,1322.54332339,711.54938062,70.9213288062,323.28999615,341.321176285,1103.89209731,198.238214542,369.112997726,29.6179635865,564.355595744,369.424660535,251.278531808,501.784164444,241.026584718,680.995079845,504.241605762,1441.21003394,9.95341485927,392.261057191,696.165221968,267.160363186,348.787596107,467.262762849,428.652971179,653.894359229,593.708309744,1282.72119453,209.335140143,612.26084525,175.907622844,456.422458736,134.58466093,75.1660759065,96.8495403328,221.255404586,686.602927769,239.539100423,194.173784797,188.759741831,300.314439164,504.973169398,152.994088999,127.772032843,159.161513782,166.711338562,391.56618777,133.201963412
2009-10-01,146.483464216,893.663958826,141.571239431,260.034783033,599.454266759,147.606168346,239.834240918,288.568501993,570.510584163,617.809922927,624.895238617,342.679179588,327.270386226,430.270888532,465.692726489,638.849374131,591.59648826,236.933394642,238.840799598,260.309473942,273.173573094,279.617830934,415.905321614,806.941367236,173.160237725,41.7669619131,68.9090775699,683.814821989,48.1334081834,236.181837619,357.969083695,550.341400726,824.036388695,281.754485476,214.458584763,651.320904688,311.638809393,285.316184643,439.645605871,851.532553938,180.048396391,196.437460826,458.492171129,130.642670854,229.64356325,272.668045822,603.324078323,275.445619371,85.2972097737,515.816766074,481.759496709,136.870988199,327.88371515,238.29798307,570.984732923,71.0064197151,114.491682452,24.8672925201,312.722339969,294.318485455,482.920838856,111.609441134,492.654207435,777.924256541,597.860746101,846.886629979,99.3590080971,214.608416168,256.986485518,75.0759271463,256.131946676,231.109586388,225.17595334,423.426762923,199.213824458,357.218181217,150.953791481,437.5291629,316.115225914,698.583529402,313.889394513,314.171880463,144.437513806,286.127384642,305.233506924,64.2041255117,392.665566281,424.650485235,294.784462314,202.12897156,260.209923529,85.3925353934,129.099093997,473.031371104,378.155563,311.81964245,249.921242554
