datetime,access1-0_rcp45_r1i1p1,access1-0_rcp85_r1i1p1,bcc-csm1-1-m_rcp45_r1i1p1,bcc-csm1-1-m_rcp85_r1i1p1,bcc-csm1-1_rcp26_r1i1p1,bcc-csm1-1_rcp45_r1i1p1,bcc-csm1-1_rcp60_r1i1p1,bcc-csm1-1_rcp85_r1i1p1,canesm2_rcp26_r1i1p1,canesm2_rcp45_r1i1p1,canesm2_rcp85_r1i1p1,ccsm4_rcp26_r1i1p1,ccsm4_rcp45_r1i1p1,ccsm4_rcp60_r1i1p1,ccsm4_rcp85_r1i1p1,cesm1-bgc_rcp45_r1i1p1,cesm1-bgc_rcp85_r1i1p1,cesm1-cam5_rcp26_r1i1p1,cesm1-cam5_rcp45_r1i1p1,cesm1-cam5_rcp60_r1i1p1,cesm1-cam5_rcp85_r1i1p1,cmcc-cm_rcp45_r1i1p1,cmcc-cm_rcp85_r1i1p1,cnrm-cm5_rcp45_r1i1p1,cnrm-cm5_rcp85_r1i1p1,csiro-mk3-6-0_rcp26_r1i1p1,csiro-mk3-6-0_rcp45_r1i1p1,csiro-mk3-6-0_rcp60_r1i1p1,csiro-mk3-6-0_rcp85_r1i1p1,fgoals-g2_rcp26_r1i1p1,fgoals-g2_rcp45_r1i1p1,fgoals-g2_rcp85_r1i1p1,fio-esm_rcp26_r1i1p1,fio-esm_rcp45_r1i1p1,fio-esm_rcp60_r1i1p1,fio-esm_rcp85_r1i1p1,gfdl-cm3_rcp26_r1i1p1,gfdl-cm3_rcp45_r1i1p1,gfdl-cm3_rcp60_r1i1p1,gfdl-cm3_rcp85_r1i1p1,gfdl-esm2g_rcp26_r1i1p1,gfdl-esm2g_rcp45_r1i1p1,gfdl-esm2g_rcp60_r1i1p1,gfdl-esm2g_rcp85_r1i1p1,gfdl-esm2m_rcp26_r1i1p1,gfdl-esm2m_rcp45_r1i1p1,gfdl-esm2m_rcp60_r1i1p1,gfdl-esm2m_rcp85_r1i1p1,giss-e2-h-cc_rcp45_r1i1p1,giss-e2-r-cc_rcp45_r1i1p1,giss-e2-r_rcp26_r1i1p1,giss-e2-r_rcp45_r1i1p1,giss-e2-r_rcp60_r1i1p1,giss-e2-r_rcp85_r1i1p1,hadgem2-ao_rcp26_r1i1p1,hadgem2-ao_rcp45_r1i1p1,hadgem2-ao_rcp60_r1i1p1,hadgem2-ao_rcp85_r1i1p1,hadgem2-cc_rcp45_r1i1p1,hadgem2-cc_rcp85_r1i1p1,hadgem2-es_rcp26_r1i1p1,hadgem2-es_rcp45_r1i1p1,hadgem2-es_rcp60_r1i1p1,hadgem2-es_rcp85_r1i1p1,inmcm4_rcp45_r1i1p1,inmcm4_rcp85_r1i1p1,ipsl-cm5a-mr_rcp26_r1i1p1,ipsl-cm5a-mr_rcp45_r1i1p1,ipsl-cm5a-mr_rcp60_r1i1p1,ipsl-cm5a-mr_rcp85_r1i1p1,ipsl-cm5b-lr_rcp45_r1i1p1,ipsl-cm5b-lr_rcp85_r1i1p1,miroc5_rcp26_r1i1p1,miroc5_rcp45_r1i1p1,miroc5_rcp60_r1i1p1,miroc5_rcp85_r1i1p1,miroc-esm-chem_rcp26_r1i1p1,miroc-esm-chem_rcp45_r1i1p1,miroc-esm-chem_rcp60_r1i1p1,miroc-esm-chem_rcp85_r1i1p1,miroc-esm_rcp26_r1i1p1,miroc-esm_rcp45_r1i1p1,miroc-esm_rcp60_r1i1p1,miroc-esm_rcp85_r1i1p1,mpi-esm-lr_rcp26_r1i1p1,mpi-esm-lr_rcp45_r1i1p1,mpi-esm-lr_rcp85_r1i1p1,mpi-esm-mr_rcp26_r1i1p1,mpi-esm-mr_rcp45_r1i1p1,mpi-esm-mr_rcp85_r1i1p1,mri-cgcm3_rcp26_r1i1p1,mri-cgcm3_rcp45_r1i1p1,mri-cgcm3_rcp85_r1i1p1,noresm1-m_rcp26_r1i1p1,noresm1-m_rcp45_r1i1p1,noresm1-m_rcp60_r1i1p1,noresm1-m_rcp85_r1i1p1
2000-10-01,2842.28632143,2839.96366298,2737.64540569,2789.1395817,2472.07489902,2510.89711143,2502.43235553,2479.95483453,2391.0039772,2378.88271567,2369.25116195,3158.8960515,3120.49366199,3151.64845229,3145.19624974,2825.8150076,2826.16622054,2392.03657246,2377.00104608,2391.27184678,2401.02177717,2490.82069743,2470.83751739,2496.17025644,2510.62152858,2156.09566606,2146.40738364,2138.71985287,2164.94898937,3869.6626921,3889.48759489,3852.65575693,1899.28364365,1920.31305985,1917.55501119,1904.54973078,2782.80925059,2780.73282754,2785.70460027,2793.53000739,2286.0371014,2276.40015558,2283.31068004,2268.80807131,1976.39066149,1976.21213329,1979.61376758,1953.37424013,2985.94809562,2569.85143371,2894.12173102,2924.8372324,2891.01788141,2917.20630485,2255.21239174,2211.47002627,2212.41781234,2205.81299699,2971.7197722,2980.89078996,3250.36063166,3272.49992114,3262.4075193,3237.83101384,2044.41935236,2008.37827026,2587.03295247,2564.87899998,2591.5609546,2575.13226035,2586.78098987,2582.69722043,2673.02770725,2680.00862425,2654.63824764,2674.80700049,2205.1231899,2221.60911012,2220.78051933,2253.23656095,2704.79642514,2710.56500529,2695.03432428,2672.71895935,2503.18550596,2516.37683505,2499.28980188,3356.39934077,3323.92434266,3366.43478898,2818.56204078,2820.84874785,2842.08512164,2166.5058832,2174.83721842,2162.60299527,2172.01969759
2001-10-01,2731.74569544,2713.85628526,3043.13164582,3090.53877949,2292.79478201,2332.36838982,2325.52296373,2313.7810691,2234.99715273,2206.88918805,2225.38189311,3322.21146522,3293.00631795,3318.87773397,3321.57628904,3280.57165241,3278.30226002,2968.12964412,2942.36438534,2958.2892875,2975.80636163,2612.06369904,2584.36232796,2653.53469522,2670.73599367,2262.49550931,2263.77931896,2255.97663698,2282.17422116,4048.49428447,4083.65406515,4033.65476623,2219.82053832,2250.94276948,2254.01064782,2238.31174847,2458.05704172,2451.77788194,2462.93163433,2468.97436209,2244.69390428,2247.13264883,2241.73342869,2230.85333274,2086.49986943,2084.4692899,2076.66906374,2069.38504035,3076.22103973,2529.92907031,2660.68869478,2687.49817457,2668.93574716,2692.0933606,2307.309754,2274.99554405,2271.03578513,2267.07516324,3113.67875235,3152.10488911,2940.26225498,2954.02991695,2961.73983012,2931.48386402,2202.00968379,2168.64364208,2591.94701418,2574.49836793,2605.06192211,2585.70132242,2612.680898,2612.5623163,2538.66996142,2552.40701056,2528.76693778,2537.34980257,1869.50438369,1892.49968193,1883.2111459,1918.65398706,2520.62054497,2524.11371787,2508.85953013,2486.66072411,2603.66318925,2631.65162815,2611.47845176,3253.9886819,3215.54489842,3239.67669992,2601.35613023,2594.96357122,2619.19016587,2140.34851939,2150.33980721,2145.2569197,2144.6999595
2002-10-01,2765.89158947,2749.39378185,3361.55405146,3408.93065187,2303.03030845,2335.49191048,2331.43508009,2340.59369633,2306.40560197,2276.84021108,2295.72492478,3018.1308419,2993.64238334,3024.53751154,3010.98752096,3220.59435158,3235.27978659,2900.16047591,2875.57592056,2904.55360835,2911.61880666,2536.79332282,2491.55676116,2658.25927775,2671.41791765,2111.02048776,2112.08253145,2103.86125524,2139.63658543,3817.00793662,3845.52577087,3791.12662846,2353.73415092,2377.1526842,2387.44717941,2376.32435812,3019.29715315,3017.43218161,3023.64251567,3039.30282575,2256.60722896,2247.39711852,2242.67986061,2241.26543804,2256.760515,2258.44069102,2258.55345679,2255.56216791,2870.98200452,2900.1836662,2574.68487718,2594.76654862,2580.27111762,2598.30235488,2128.59646485,2095.74042592,2087.9633824,2099.80763502,2986.91747608,3026.71698724,2869.00916508,2865.70954602,2882.59068503,2848.742718,2406.78437154,2372.23134378,2249.12374091,2230.31756298,2247.39281586,2226.64778674,2629.29406339,2612.5807755,2354.66132492,2375.62127277,2356.71245837,2364.73509771,2003.80077073,2031.82384971,2029.04820024,2055.5040939,2492.22260373,2494.52314908,2475.09906834,2450.78452472,2753.41104369,2772.0126862,2750.89568519,3081.41574282,3062.70700511,3077.85679064,2372.78500814,2361.42250642,2371.25782133,2289.89344808,2295.85333129,2298.7908201,2298.63531081
2003-10-01,2642.44177374,2627.51432336,3383.93910967,3419.59299839,2287.12368799,2317.88471309,2316.27264058,2324.03260352,2126.51510569,2092.75197233,2105.21624084,3170.50278573,3145.40883046,3172.00006661,3149.89989735,3087.20487994,3088.19186427,2997.81073705,2958.47984694,3013.70040547,3006.52158759,2463.84005689,2421.60261824,2684.17475778,2706.37738142,2285.63422748,2277.31442161,2281.54972206,2310.61946563,3763.66322562,3804.42042571,3744.06818458,2557.39775966,2590.96254075,2601.13879394,2596.04597451,2963.19069217,2956.11035346,2965.44171564,2985.21406999,2325.76613587,2317.08362749,2315.46750326,2316.84870416,2154.19896623,2166.9202069,2153.3225841,2170.7007613,2633.10275338,2895.52138195,2196.86560121,2210.08734117,2201.38804446,2205.94445913,2190.18985626,2164.02155678,2176.86268586,2177.71427109,3282.49989078,3318.14922896,2786.49214443,2803.50947055,2807.21777333,2770.08982309,2337.42893931,2303.33685606,2299.00163967,2262.25648224,2286.3183793,2273.59147265,2794.68556046,2771.99627887,2472.79152581,2500.04128144,2487.87992654,2487.70781101,2146.91120632,2165.52834422,2161.09821381,2185.41247283,2623.16459085,2619.34747915,2591.82829323,2567.39776297,2524.2354363,2541.08631593,2495.70882383,3279.13386206,3271.995999,3273.62657357,2399.43659933,2384.74953629,2402.49962112,2317.97557998,2334.20054517,2338.33026064,2341.34128023
2004-10-01,2905.54135467,2881.88710546,3579.46199618,3607.95463417,2336.99342363,2371.32411624,2349.75455417,2369.43700101,2275.63196115,2238.62693658,2251.29305364,3364.25648841,3347.22713565,3372.40744399,3349.43320919,3139.04566021,3141.08973221,2896.08107492,2860.60144236,2912.24458033,2914.92655058,2451.08165606,2415.43624566,2374.2443531,2382.30783404,2548.05219198,2548.99717489,2562.52366764,2586.42793316,3494.2153333,3555.56810019,3508.37353041,2506.98001799,2529.32296156,2544.75227302,2546.63116394,2885.43512502,2871.14250501,2889.29576212,2911.36361707,2280.70094458,2265.96059865,2282.7635982,2265.30966085,2159.69174014,2170.72715411,2161.33460604,2165.51977562,2470.80711877,2662.93789436,2214.15294518,2234.25986032,2219.12736652,2215.37991138,2468.68446203,2455.11471318,2467.29384945,2474.6020271,3404.4109322,3451.93363327,2613.59095165,2617.61259724,2620.65396803,2600.90252717,2428.51453203,2406.3775729,2199.44194363,2175.00291669,2192.23491824,2190.01177178,2799.3677468,2783.65468938,2484.62571798,2513.28235734,2491.94197153,2497.94063681,2332.4786049,2349.36448419,2368.76395623,2374.34776074,2464.97196982,2450.33602916,2428.30316009,2401.33488893,2855.68804931,2863.34046874,2820.5982664,3057.8454031,3040.58910192,3051.67324365,2480.95145853,2481.73092985,2493.66811806,2413.08207161,2427.24202529,2437.20848714,2437.49825254
2005-10-01,3237.26494797,3157.6999093,3437.3118262,3498.66091931,2232.9340661,2198.87326128,2203.50774197,2211.84711484,2282.27238053,2230.50815148,2148.39445919,3338.20203189,3222.41379328,3435.76122417,3361.20243917,3213.10933496,3145.40189143,2998.38808287,2938.42782283,2884.2996806,2907.11101264,2549.92626765,2540.73601646,2235.96559523,2318.9203089,2963.9179532,2815.0054618,2992.63731622,2956.96601948,3685.68168626,3661.64881531,3789.62336945,2791.06396115,2815.56713014,2748.53906756,2742.05204897,2909.58826997,2922.452343,3017.71537521,3138.81428978,2314.387617,2348.93278766,2359.82967193,2222.41548224,2167.17634516,2101.64097008,2103.72450353,2045.6854801,2317.05036604,2693.00047645,2446.49364316,2455.94370027,2214.31850727,2286.57192862,2431.90204498,2566.43388936,2480.28062322,2492.57839015,2740.99485878,2620.62673672,2590.13268915,2356.25147561,2640.7254306,2403.40949574,2984.30034561,2990.34501048,1816.33532583,1582.10675827,1571.83751288,1729.46980135,2936.42866862,2801.14570732,2392.07462315,2433.68036354,2520.97416783,2534.77438893,2698.1790721,2738.44567422,2508.74006709,2532.8108709,2798.34774737,2729.3552747,2555.0606769,2515.42463616,3010.72018844,2954.28965555,2936.63682428,3377.66674204,3103.79043915,3210.07507611,2418.69176093,2555.9899854,2579.94130781,2436.64459555,2391.84159714,2369.79038058,2544.49824937
2006-10-01,3198.08407713,3202.60409057,3280.19319899,3339.62731669,2118.42323669,2277.7547204,2154.82386316,2206.16309449,2163.63747257,1952.18060118,1870.57674947,3500.94937071,3057.92148916,3596.32693749,3324.69705856,3015.91455031,2905.23130159,3278.68062928,3094.54622417,2809.33159982,2924.70116311,2282.52831223,2396.15482591,2042.3748657,2272.32694541,2956.60019556,2606.62807614,2602.28621909,2684.45713123,3351.23441355,3440.62640358,3725.26644396,3346.4012761,3026.3236719,2923.6886459,3108.42710636,2588.80556833,2981.77636955,3007.69644448,3104.77493399,2519.20867002,2449.72434623,2540.42627552,2293.13235405,2516.87192235,2510.52395829,2445.11958173,2509.12055861,2419.48434526,2908.48134673,2523.31856144,2589.53934761,2255.68914378,2246.17659407,2437.64410227,2688.90981388,2467.02464102,2801.24964744,2823.8174493,2856.75709477,2404.15938857,2135.22772809,2393.87404646,2022.7522705,3388.62419251,3177.55893039,1699.84875131,1542.85249894,1557.04433544,1699.95922957,2706.17792289,2743.08575816,2268.60309827,2091.09096396,2323.10644091,2322.22958445,2864.94148318,2691.11733184,2569.47157259,2671.32401809,2690.57844218,2615.26111465,2218.95030874,2479.48752325,2755.58905661,2832.75599801,2709.17535361,3190.53068618,3316.7117584,3061.73500817,2517.43357846,2795.6975253,2746.69352531,2513.05719609,2485.39304331,2180.90275547,2586.79131503
2007-10-01,2825.76491958,3112.88619403,3449.1346252,3182.44891282,2060.72812912,2639.92722007,2171.28702304,2096.7059857,2031.43831342,1875.38004985,1720.26824574,3414.73124948,2761.3068969,3394.65633652,3280.70030681,2821.5332669,2839.07356345,3624.06922361,3044.0832495,2841.46252752,2944.1687662,2422.69554866,2570.85450557,2271.28865508,2044.15274512,2749.06646305,2362.13566752,2577.59107225,2895.09629548,2846.34409436,3006.77061391,3192.53693702,3539.55830467,3222.69386393,3335.91239161,3259.53411288,2567.34534459,3077.28080203,3242.18873657,3221.81428388,2512.29743101,2471.86814494,2501.83258754,2012.01106995,2564.4295328,2350.80965577,2483.27323717,2328.05706757,2349.3842501,2749.27793904,2626.05655135,2530.70385185,2419.96963835,2610.19906872,2606.33071682,2558.20558691,2638.12598511,2701.97600323,3127.32342285,2853.65096224,2083.02780281,2028.41907104,2204.51709186,1812.89721074,3807.48165727,3320.98920104,1556.64091986,1393.8866512,1605.25367322,1831.6430933,2427.49364361,2388.66841842,2181.11465223,2108.9293757,2390.45311599,2352.25681038,2759.22917327,2554.75613985,2665.06221585,2779.73493968,2419.15960316,2552.60052616,1854.62062855,2613.40351822,2816.79877693,2869.68809464,3244.48155336,2962.00085554,3144.33949581,3275.71462389,2567.16964249,2783.37348798,2925.70755684,2749.609637,2432.2892705,2270.01318758,2542.5141866
2008-10-01,2806.3629963,3114.0139466,3621.88454402,3181.13200392,1831.50443354,2632.26335698,2032.41730754,1873.90989316,2172.19506613,2429.79160768,2215.27024713,3726.81674608,2785.4518313,3307.31827544,3353.1234812,3015.79215864,2967.19696479,3683.19361414,3013.69860453,3005.09582234,2813.74728756,2675.56539001,2700.37012306,2357.58850387,2204.21192288,2692.43402805,2356.67518957,2650.26102371,2764.293623,3081.3380991,2858.63871539,3152.20300564,3049.68107285,2934.30112473,3055.89235252,3091.90675722,2430.26402033,3015.22670482,3331.31899886,3202.28812057,2458.59239835,2416.19502229,2461.53129639,1896.79483861,2514.69354986,2428.83155169,2362.17972999,2262.66995367,2399.13226579,3038.66420683,2825.44195852,2789.33767691,2268.86009798,2720.90710822,2402.4311305,2422.29971017,2454.39647519,2540.34301326,2922.88329436,2898.95798377,2297.76978785,2121.78890584,2251.87345355,1868.62144658,4035.61858417,3620.6361594,1657.00473417,1105.96585797,1624.1615619,1968.83132761,2397.8534244,2364.09865767,2326.8776326,2179.41236312,2485.94770071,2470.74918741,3061.00266872,2528.86030486,2749.01246101,2854.0818371,2648.65036654,2568.6691864,1768.44504122,2597.55832541,2433.76165656,2843.12620593,2818.26141162,2948.86359887,3040.37407456,3275.45373618,2671.03592969,2665.33013745,2809.27769112,2655.65648133,2308.61769648,2177.66247393,2401.91452226
2009-10-01,2352.20811934,3018.59196696,3398.64584988,3073.91134128,2124.13571396,2638.51162085,2049.0831147,1994.02085637,2137.28225684,2323.33159452,2356.50017602,3775.02857794,2687.17420058,3309.77787228,3329.95047335,2973.93090274,3027.08329621,3537.60502458,2882.92884923,2880.34292528,2690.94788328,2488.41893095,2644.34618836,2415.09525842,2108.91168461,2566.16534042,2240.3420281,2942.72513849,2655.2961918,3110.00815138,2896.20732399,3314.73384054,3537.87152165,3207.48636432,3264.99178155,3566.51578858,2700.69490647,3247.05430002,3461.30218621,3265.21639809,2386.87823082,2412.57512905,2699.04863761,1870.94987353,2588.94974106,2382.41217352,2509.70695347,2410.88902234,2489.44259958,2983.41203172,3133.82970548,2738.18804258,2321.57767197,2689.41670442,2515.92954521,2335.12660067,2355.20008146,2379.0852084,2652.29981991,2756.54434173,2365.53156086,1991.93482885,2382.32107405,2085.07065073,4354.77225207,3708.97189413,1554.11238714,1128.48816671,1662.35307064,1874.19501316,2156.8046668,2198.82593662,2243.84485597,2366.23425604,2451.6291954,2466.80652744,2873.83280821,2754.52152749,2677.33321204,3130.65840878,2603.86959905,2688.20577833,1715.24145957,2646.42783365,2408.07615304,2654.08259873,2821.79700366,2786.32827923,2834.49195405,2943.67468724,2739.90016721,2442.85816425,2592.62004518,2822.43995278,2413.66372161,2500.59161169,2596.12229468
