datetime,access1-0_rcp45_r1i1p1,access1-0_rcp85_r1i1p1,bcc-csm1-1-m_rcp45_r1i1p1,bcc-csm1-1-m_rcp85_r1i1p1,bcc-csm1-1_rcp26_r1i1p1,bcc-csm1-1_rcp45_r1i1p1,bcc-csm1-1_rcp60_r1i1p1,bcc-csm1-1_rcp85_r1i1p1,canesm2_rcp26_r1i1p1,canesm2_rcp45_r1i1p1,canesm2_rcp85_r1i1p1,ccsm4_rcp26_r1i1p1,ccsm4_rcp45_r1i1p1,ccsm4_rcp60_r1i1p1,ccsm4_rcp85_r1i1p1,cesm1-bgc_rcp45_r1i1p1,cesm1-bgc_rcp85_r1i1p1,cesm1-cam5_rcp26_r1i1p1,cesm1-cam5_rcp45_r1i1p1,cesm1-cam5_rcp60_r1i1p1,cesm1-cam5_rcp85_r1i1p1,cmcc-cm_rcp45_r1i1p1,cmcc-cm_rcp85_r1i1p1,cnrm-cm5_rcp45_r1i1p1,cnrm-cm5_rcp85_r1i1p1,csiro-mk3-6-0_rcp26_r1i1p1,csiro-mk3-6-0_rcp45_r1i1p1,csiro-mk3-6-0_rcp60_r1i1p1,csiro-mk3-6-0_rcp85_r1i1p1,fgoals-g2_rcp26_r1i1p1,fgoals-g2_rcp45_r1i1p1,fgoals-g2_rcp85_r1i1p1,fio-esm_rcp26_r1i1p1,fio-esm_rcp45_r1i1p1,fio-esm_rcp60_r1i1p1,fio-esm_rcp85_r1i1p1,gfdl-cm3_rcp26_r1i1p1,gfdl-cm3_rcp45_r1i1p1,gfdl-cm3_rcp60_r1i1p1,gfdl-cm3_rcp85_r1i1p1,gfdl-esm2g_rcp26_r1i1p1,gfdl-esm2g_rcp45_r1i1p1,gfdl-esm2g_rcp60_r1i1p1,gfdl-esm2g_rcp85_r1i1p1,gfdl-esm2m_rcp26_r1i1p1,gfdl-esm2m_rcp45_r1i1p1,gfdl-esm2m_rcp60_r1i1p1,gfdl-esm2m_rcp85_r1i1p1,giss-e2-h-cc_rcp45_r1i1p1,giss-e2-r-cc_rcp45_r1i1p1,giss-e2-r_rcp26_r1i1p1,giss-e2-r_rcp45_r1i1p1,giss-e2-r_rcp60_r1i1p1,giss-e2-r_rcp85_r1i1p1,hadgem2-ao_rcp26_r1i1p1,hadgem2-ao_rcp45_r1i1p1,hadgem2-ao_rcp60_r1i1p1,hadgem2-ao_rcp85_r1i1p1,hadgem2-cc_rcp45_r1i1p1,hadgem2-cc_rcp85_r1i1p1,hadgem2-es_rcp26_r1i1p1,hadgem2-es_rcp45_r1i1p1,hadgem2-es_rcp60_r1i1p1,hadgem2-es_rcp85_r1i1p1,inmcm4_rcp45_r1i1p1,inmcm4_rcp85_r1i1p1,ipsl-cm5a-mr_rcp26_r1i1p1,ipsl-cm5a-mr_rcp45_r1i1p1,ipsl-cm5a-mr_rcp60_r1i1p1,ipsl-cm5a-mr_rcp85_r1i1p1,ipsl-cm5b-lr_rcp45_r1i1p1,ipsl-cm5b-lr_rcp85_r1i1p1,miroc5_rcp26_r1i1p1,miroc5_rcp45_r1i1p1,miroc5_rcp60_r1i1p1,miroc5_rcp85_r1i1p1,miroc-esm-chem_rcp26_r1i1p1,miroc-esm-chem_rcp45_r1i1p1,miroc-esm-chem_rcp60_r1i1p1,miroc-esm-chem_rcp85_r1i1p1,miroc-esm_rcp26_r1i1p1,miroc-esm_rcp45_r1i1p1,miroc-esm_rcp60_r1i1p1,miroc-esm_rcp85_r1i1p1,mpi-esm-lr_rcp26_r1i1p1,mpi-esm-lr_rcp45_r1i1p1,mpi-esm-lr_rcp85_r1i1p1,mpi-esm-mr_rcp26_r1i1p1,mpi-esm-mr_rcp45_r1i1p1,mpi-esm-mr_rcp85_r1i1p1,mri-cgcm3_rcp26_r1i1p1,mri-cgcm3_rcp45_r1i1p1,mri-cgcm3_rcp85_r1i1p1,noresm1-m_rcp26_r1i1p1,noresm1-m_rcp45_r1i1p1,noresm1-m_rcp60_r1i1p1,noresm1-m_rcp85_r1i1p1
2000-10-01,476.399066966,186.080726959,1162.47084102,467.694782683,169.609388144,241.714293808,207.672078989,171.334928637,63.2708230339,166.413500546,152.689725363,699.426425268,481.844409106,482.634346295,896.60501006,49.3826776028,47.3893090111,280.033844157,186.918247619,187.13521952,176.144806315,108.228277504,293.379430911,44.4211040574,52.1462875155,212.38024427,142.395768355,94.2197353785,116.847193192,228.172759946,264.730948315,210.945123612,91.1637221605,66.6150941027,77.2739899525,64.5119602219,256.089044197,357.091734936,324.751219288,159.790274111,177.042545156,87.5927403484,77.5489188777,177.040839371,27.6410974741,30.1757949905,31.1690974682,18.9860429432,228.080568211,89.7003767084,149.272898922,166.848535256,128.275774991,167.937222858,118.887490709,163.170426172,75.0915965678,131.038829531,178.550776559,214.361533523,197.702617849,209.634882292,184.040667459,153.769824534,374.475787799,270.931358221,53.5618908189,27.9726743331,20.8369784773,21.8047338476,290.897632568,515.932521445,292.029202814,398.623437345,240.172264058,151.532945199,323.371635819,136.240779936,262.135735096,243.544363226,83.2169651491,144.219193146,43.3800792658,94.5078543863,64.7102478249,85.3750213438,79.3618709407,506.714061957,287.134234227,414.72112988,566.540547806,381.324713407,269.98768219,194.447325292,256.257718577,458.575576087,287.19572183
2001-10-01,57.9697784148,60.9228296495,624.986101427,357.994472124,133.564720436,174.229269128,132.658393165,185.222141837,9.59488262847,18.2854016221,86.0774081195,372.306782844,538.095807358,853.5581341,438.319139758,557.891344515,399.416349741,1096.08854691,880.511324137,797.316673037,1279.63491355,117.110241125,123.822029544,287.246518525,308.725863943,330.547536633,434.392224062,433.083549684,436.97922571,905.835866243,444.956746358,930.681816615,365.776105169,275.253758214,670.550676557,1248.87855657,84.4834709321,117.232264265,92.506849431,73.6003040083,92.6496791828,266.939285501,92.9088791824,113.854690717,316.393209385,351.521672135,302.695020978,227.73264755,1256.08228549,183.976641012,172.069963347,239.197903729,191.863477363,190.35457158,179.874644325,79.5751337503,73.6233916116,103.493335363,300.362359825,350.9557085,175.690432762,87.0885023327,347.270399415,140.577857615,629.316792329,851.034048154,98.5539965283,64.4548362551,96.254598185,54.0609123057,43.4439867037,34.5409982889,371.860045655,603.965413859,571.40864036,633.075866702,338.634346537,187.92162613,246.965949997,105.299622963,304.423358165,288.842954885,112.072859315,173.315087311,290.166009429,404.434134856,260.506412784,71.5165288052,98.6461684289,72.9612097945,85.507477542,56.1791800707,184.797500515,39.0278081987,68.2998544304,52.0396164413,102.292859332
2002-10-01,160.593381548,267.599940045,614.095694834,652.481731133,300.810306931,196.23461124,333.60228043,207.168297172,229.475047547,108.767047751,169.737044342,308.740700307,380.305050599,155.959517093,168.095384841,558.981638728,276.857850773,170.295212936,165.633619556,234.679735142,226.625255817,150.834743548,122.970168388,125.423523756,112.07974196,98.7441320651,89.2663734034,79.8808461465,154.407927013,520.041063587,859.853849792,522.300990856,115.900958483,111.589368407,255.42787395,160.579041052,1049.36802468,689.62278231,702.210048404,970.21239506,808.646081283,713.77529136,1256.29259293,700.129545928,302.697738333,221.088733512,263.257665672,325.883840774,44.3759999253,462.534128147,78.4412031737,75.825143674,77.4150940845,62.0596164244,184.457533574,179.070545153,268.132045829,118.372065916,255.809989652,255.681996264,92.3319866214,103.763880817,350.207424204,80.9611436653,232.761996302,239.39807563,32.0392065576,70.0973750886,30.5015007751,39.0039470418,230.44984424,111.071900639,462.00904385,306.856581301,239.753077282,197.530036031,218.369116988,341.463192813,315.238749882,517.162531361,226.509639288,313.520885422,273.084138383,291.536944964,287.752978028,207.401751717,444.926538094,175.085374912,186.775338528,204.749791391,492.662875203,220.32509715,216.17972195,370.335569624,237.064621088,249.142670655,354.914974609
2003-10-01,132.105579943,96.0199535573,338.823391165,308.118743283,194.994445953,262.477387988,443.461943055,199.839788093,194.124356698,174.37445921,389.710868765,360.194518402,467.370405825,278.195682176,205.857202959,146.198736944,148.838320411,327.846604407,386.119953069,169.379285665,190.826637695,179.603444326,148.972879088,159.653414607,160.886776589,282.222663988,147.317097273,173.838941856,582.854716374,194.051226119,597.378286597,352.71849858,503.228190888,522.83962226,358.776951462,807.878120954,117.380766744,166.509103852,174.733348466,175.108026151,121.472310539,241.688826039,174.34363607,159.444931963,96.4654609946,45.1700627338,90.7673056323,92.605170092,164.301817905,135.65325597,140.55552373,110.312429566,128.186598131,169.434049301,452.000190974,521.863000774,406.320534853,473.455000856,679.298736046,481.959926461,114.985289063,118.059510545,88.8275105942,81.9621023413,130.558670855,83.5587568841,178.635807964,140.146373318,118.738016329,160.517295597,138.519689023,130.605143582,276.423153254,401.09690511,457.6603827,361.158663855,358.34994981,541.016607353,267.486187979,247.673136773,254.084905357,233.094525227,176.19724929,182.424237709,119.427768394,141.076700589,104.654498997,924.074576956,510.138921455,305.754802791,97.7097717363,201.421864124,204.602598003,252.121804534,241.548118601,224.30314673,288.245136705
2004-10-01,453.606842211,276.419821022,625.736805558,426.67586705,80.3906775506,87.5935932409,76.5218378877,82.604013084,421.708184414,471.165876893,423.517506725,138.320707205,204.918683952,169.939834425,164.231880715,521.827456972,557.611397408,86.234181673,101.393256028,222.010353345,135.24394688,95.2968990131,205.165348415,107.056006431,144.245632815,756.485096247,405.204534855,463.822987649,783.774484631,120.09449236,322.954015985,164.793183194,374.207463833,191.740660834,315.535893684,207.090307089,156.06253858,157.586617916,112.594452703,111.009520474,260.099880554,173.406584832,254.958783042,194.755219507,235.027021092,285.886591254,518.889083424,314.863060627,128.923120444,92.2969386875,208.199523616,206.010069075,163.668455923,114.274750221,372.66634648,362.764958067,314.71199947,360.237639063,729.355595466,514.754815662,188.25893522,149.830928673,76.6943998708,102.492892389,106.174591557,93.7900560404,71.1816593843,93.0915370333,83.6943866359,98.6444824785,135.389652665,148.227292312,245.194908678,151.164039415,139.006948526,145.303576615,289.192006125,484.121771086,309.661923445,449.822657094,141.628422902,213.051232699,314.099483769,321.959186235,421.733672017,485.915681826,370.306829128,187.915417865,183.99498812,254.536006183,350.876607674,220.101797976,311.733163111,90.8264130702,90.9399469543,221.446988057,96.3923502509
2005-10-01,216.908786412,628.434147702,28.2954842499,58.2194379185,149.78556669,516.718809047,110.964337003,282.186981343,231.57191366,202.661117014,152.626988173,202.957011228,139.122089022,301.136290402,429.852614152,272.514088797,168.165996411,262.257083856,414.185156327,255.162247504,194.138816202,217.200931866,129.218994824,121.875788225,248.908085531,364.432363023,585.970590749,343.337354794,583.708481662,131.503338622,92.9058246369,208.002029402,523.850974324,320.493877146,237.531252493,208.156660806,112.730697331,177.530379866,216.749692197,611.03254112,228.514551681,111.6151932,190.396799679,60.3776924603,461.206015752,76.76336516,113.303741958,60.2756825431,344.52719942,128.495841106,350.051820898,459.145625673,334.867120097,335.21008208,99.0185056184,323.320739951,136.930809687,147.188965041,93.5692560408,9.57191403347,170.985560043,219.721745085,364.656475419,242.780865707,452.725367833,1019.27384952,652.858174107,51.6507172684,34.1731437441,198.210049253,239.583768192,103.814657676,90.2629486083,29.7542875532,110.111622955,125.504687392,553.006590804,476.747285148,241.584693808,663.821711279,235.120502083,167.055788148,278.881824324,261.205745015,210.352660803,256.22114337,119.082941948,287.290948277,144.938816285,174.507431111,327.908647382,195.813718679,137.22952043,137.747146875,85.3051238233,25.0054611149,352.865334943
2006-10-01,114.695960137,172.166439379,69.6743602132,71.2582412023,216.403675669,273.296191275,136.779867538,142.664687363,320.997817641,32.2596296977,61.8376263421,249.630287183,72.3198544237,241.476812816,516.396534668,297.833176358,69.2451569082,268.631424341,332.452779605,137.521090678,136.15342787,130.03481631,214.68400625,255.296588,379.09485556,491.011754545,1191.2611418,20.6885355023,97.1901816545,69.205606495,141.190889018,649.041182378,347.929903546,117.054168398,102.643398174,641.757618754,44.5563767845,422.840488544,418.682577807,300.442373048,529.008494977,146.12015182,161.839517083,222.348475659,228.852535152,972.237400016,229.741784737,439.576878599,242.987900417,313.217275506,305.920263948,130.32311383,104.956264286,69.4134345939,80.0144527578,265.088845835,68.7672593883,411.551324927,177.927609618,153.702446022,826.465664724,164.600826169,123.175636156,13.2469090686,1045.4158594,531.106471833,136.662089026,122.989348553,141.744178274,120.16986426,17.1955041033,209.645037663,436.488713315,163.382102204,203.61411536,95.4509155417,171.554756736,128.169024578,212.604217824,503.555007416,505.126372703,424.485222426,383.489731586,723.114702915,151.128892307,169.288799715,208.134247583,93.1416395126,724.813863242,428.843225724,211.900978156,220.725024422,108.770221304,203.799193045,303.030842465,62.5921189029,428.413883576
2007-10-01,52.7396230517,157.035173289,359.311536585,240.923999594,51.8490643755,461.336528149,241.249308685,54.9032726348,164.439470797,259.499543365,64.2717023711,209.143695516,6.77732230264,422.646445569,391.889553059,92.1438940597,281.937659029,563.24100401,142.944098933,261.464488816,106.224436185,97.649315538,229.413936804,800.266332537,14.9493222889,48.7636164468,39.5939106771,130.079682426,371.000924995,269.025540043,540.956666858,71.7120395487,119.78320641,189.341117037,527.738061921,184.012581508,177.786168296,311.538108566,307.609705267,389.106366287,355.649612624,245.40801281,345.327410989,14.5591140251,242.203219427,39.4190280328,629.305070015,30.9103735017,139.91757993,232.039100436,127.310062596,85.1865519227,294.657718512,437.8733348,345.449890327,93.3510345535,271.899411112,65.367768485,535.374088355,98.8998147095,37.5239007633,293.64793339,130.746307218,158.718188162,514.077440457,89.5361254691,34.0666511823,63.4558412155,251.250564866,424.862200937,193.702631079,78.4318610249,124.828938633,297.279113549,281.482313576,184.866604647,68.2224197198,70.2465916172,230.688773165,182.59527242,120.281295665,156.936475769,13.0361057632,414.401374509,197.348171568,90.4104196825,708.8634236,47.3372825649,217.668138476,273.086260697,239.406207861,180.789361679,163.609130303,183.195331923,44.0614412481,306.488607748,78.2379767278
2008-10-01,115.231417988,108.674360148,692.970921147,569.636389123,61.8725949371,289.756204471,54.3546048671,30.3606148249,214.129566582,619.639357634,775.804659851,231.50846242,94.2343932297,10.0203966773,64.3019503049,576.712144483,327.397685399,172.154935247,103.351675859,390.099589426,64.1907172473,268.095867317,206.336429405,338.534002736,263.676614432,107.023834531,133.849289031,456.907139726,158.738379898,309.338915182,97.2667238031,140.629546871,27.6919933418,175.450036068,192.309857527,355.694538244,292.999695374,337.58033001,292.557420995,201.386340157,272.836561524,278.804687134,78.7338246608,91.6035370358,217.841196327,196.524535206,97.0906709109,192.032548437,70.1897850058,255.896012792,915.699330689,527.814009029,44.5729586026,210.559655844,233.369315309,822.903588697,151.475345199,227.169202923,20.634942114,392.711642314,250.426373132,151.461103877,351.572687011,159.68370221,479.784752911,358.467034107,1086.23079487,7.34148097937,264.721804513,477.370888452,165.135728648,256.403781386,311.445143277,291.667774715,412.277196,396.609877018,951.844302529,142.388905545,409.649215839,128.274267553,315.801024262,95.1358213274,51.1082974346,64.2385784042,140.147523731,482.684984311,170.17088897,120.378108888,121.502935333,188.487807947,321.663192847,92.9505519096,78.0106511083,102.891867595,107.688019653,278.47927887,92.4633915798
2009-10-01,111.797494027,639.019932808,89.915008113,167.392522032,381.70544068,92.8539965378,159.304601385,182.400237709,420.028838962,462.912911617,434.437090177,219.911364919,207.572845931,294.559239173,291.411768104,447.973447179,413.98066046,165.954822861,155.087325359,184.83764597,186.781150099,189.353731913,272.509586318,583.193850258,116.776641126,28.9650049099,53.8259304879,515.829559462,34.7487470489,150.00632702,233.685440929,380.692263822,575.529559361,176.966439371,137.879543569,402.529189405,209.376455846,199.207953384,314.918002775,597.728369241,127.092932017,119.439907237,317.097440788,79.4287139158,149.513077434,199.528621152,412.976012528,178.611768294,52.1465056973,381.333361341,333.680508529,84.3736858083,246.06965909,176.791854248,400.215490235,43.2339767867,70.050585006,17.7405817883,217.218366576,206.311199653,347.950194455,67.8583536047,346.313334954,528.128944565,415.474571201,599.684726263,76.4141750779,151.161936936,168.162902196,57.6762048616,192.598234386,154.915596433,138.2452758,289.480878851,136.410208035,247.215093799,91.2212428216,294.693559834,206.149070727,510.255351207,201.580283958,203.466009575,88.4718345618,202.33777156,184.413024483,39.7472528256,245.048806199,294.952184627,190.167490589,128.144588214,158.441989816,52.436072639,79.0928130899,332.415827539,255.919735106,211.736905429,152.841936933
