datetime,access1-0_rcp45_r1i1p1,access1-0_rcp85_r1i1p1,bcc-csm1-1-m_rcp45_r1i1p1,bcc-csm1-1-m_rcp85_r1i1p1,bcc-csm1-1_rcp26_r1i1p1,bcc-csm1-1_rcp45_r1i1p1,bcc-csm1-1_rcp60_r1i1p1,bcc-csm1-1_rcp85_r1i1p1,canesm2_rcp26_r1i1p1,canesm2_rcp45_r1i1p1,canesm2_rcp85_r1i1p1,ccsm4_rcp26_r1i1p1,ccsm4_rcp45_r1i1p1,ccsm4_rcp60_r1i1p1,ccsm4_rcp85_r1i1p1,cesm1-bgc_rcp45_r1i1p1,cesm1-bgc_rcp85_r1i1p1,cesm1-cam5_rcp26_r1i1p1,cesm1-cam5_rcp45_r1i1p1,cesm1-cam5_rcp60_r1i1p1,cesm1-cam5_rcp85_r1i1p1,cmcc-cm_rcp45_r1i1p1,cmcc-cm_rcp85_r1i1p1,cnrm-cm5_rcp45_r1i1p1,cnrm-cm5_rcp85_r1i1p1,csiro-mk3-6-0_rcp26_r1i1p1,csiro-mk3-6-0_rcp45_r1i1p1,csiro-mk3-6-0_rcp60_r1i1p1,csiro-mk3-6-0_rcp85_r1i1p1,fgoals-g2_rcp26_r1i1p1,fgoals-g2_rcp45_r1i1p1,fgoals-g2_rcp85_r1i1p1,fio-esm_rcp26_r1i1p1,fio-esm_rcp45_r1i1p1,fio-esm_rcp60_r1i1p1,fio-esm_rcp85_r1i1p1,gfdl-cm3_rcp26_r1i1p1,gfdl-cm3_rcp45_r1i1p1,gfdl-cm3_rcp60_r1i1p1,gfdl-cm3_rcp85_r1i1p1,gfdl-esm2g_rcp26_r1i1p1,gfdl-esm2g_rcp45_r1i1p1,gfdl-esm2g_rcp60_r1i1p1,gfdl-esm2g_rcp85_r1i1p1,gfdl-esm2m_rcp26_r1i1p1,gfdl-esm2m_rcp45_r1i1p1,gfdl-esm2m_rcp60_r1i1p1,gfdl-esm2m_rcp85_r1i1p1,giss-e2-h-cc_rcp45_r1i1p1,giss-e2-r-cc_rcp45_r1i1p1,giss-e2-r_rcp26_r1i1p1,giss-e2-r_rcp45_r1i1p1,giss-e2-r_rcp60_r1i1p1,giss-e2-r_rcp85_r1i1p1,hadgem2-ao_rcp26_r1i1p1,hadgem2-ao_rcp45_r1i1p1,hadgem2-ao_rcp60_r1i1p1,hadgem2-ao_rcp85_r1i1p1,hadgem2-cc_rcp45_r1i1p1,hadgem2-cc_rcp85_r1i1p1,hadgem2-es_rcp26_r1i1p1,hadgem2-es_rcp45_r1i1p1,hadgem2-es_rcp60_r1i1p1,hadgem2-es_rcp85_r1i1p1,inmcm4_rcp45_r1i1p1,inmcm4_rcp85_r1i1p1,ipsl-cm5a-mr_rcp26_r1i1p1,ipsl-cm5a-mr_rcp45_r1i1p1,ipsl-cm5a-mr_rcp60_r1i1p1,ipsl-cm5a-mr_rcp85_r1i1p1,ipsl-cm5b-lr_rcp45_r1i1p1,ipsl-cm5b-lr_rcp85_r1i1p1,miroc5_rcp26_r1i1p1,miroc5_rcp45_r1i1p1,miroc5_rcp60_r1i1p1,miroc5_rcp85_r1i1p1,miroc-esm-chem_rcp26_r1i1p1,miroc-esm-chem_rcp45_r1i1p1,miroc-esm-chem_rcp60_r1i1p1,miroc-esm-chem_rcp85_r1i1p1,miroc-esm_rcp26_r1i1p1,miroc-esm_rcp45_r1i1p1,miroc-esm_rcp60_r1i1p1,miroc-esm_rcp85_r1i1p1,mpi-esm-lr_rcp26_r1i1p1,mpi-esm-lr_rcp45_r1i1p1,mpi-esm-lr_rcp85_r1i1p1,mpi-esm-mr_rcp26_r1i1p1,mpi-esm-mr_rcp45_r1i1p1,mpi-esm-mr_rcp85_r1i1p1,mri-cgcm3_rcp26_r1i1p1,mri-cgcm3_rcp45_r1i1p1,mri-cgcm3_rcp85_r1i1p1,noresm1-m_rcp26_r1i1p1,noresm1-m_rcp45_r1i1p1,noresm1-m_rcp60_r1i1p1,noresm1-m_rcp85_r1i1p1
2000-10-01,2769.04423019,2770.67045221,2718.40122414,2728.80085968,2692.65251988,2682.52087021,2671.01586632,2666.66593062,2680.92128734,2684.11862062,2684.40397748,2803.3385231,2784.94203111,2796.97026187,2802.99341804,2666.11260747,2667.38774172,2727.4990921,2725.48418239,2722.12191344,2724.16019644,2658.70143225,2655.38786414,2594.42319737,2589.82574158,2668.65163978,2669.72233102,2669.27751506,2674.63221431,2667.05459077,2659.23202261,2659.36150418,2622.87722925,2640.43168907,2636.55111437,2641.38198022,2746.63653834,2752.85175191,2751.36320701,2754.2971983,2673.32009801,2667.73470188,2682.80355673,2675.24819714,2676.89168091,2679.1597825,2673.5231679,2667.85949459,2708.40394564,2748.46902756,2700.55430531,2702.29927888,2707.27205566,2706.00677285,2631.05118784,2620.26635508,2621.39103735,2604.50847258,2766.65328921,2769.16297286,2742.2826011,2738.38434083,2741.56090812,2737.88297825,2763.90400623,2768.76048851,2662.45815066,2646.49076815,2655.92371836,2655.34625657,2753.81905418,2754.64271649,2699.05347825,2703.41030556,2703.5655887,2702.12423044,2671.58918214,2678.13512604,2684.24895722,2697.8468233,2719.16999787,2712.39701099,2708.84076558,2700.24825132,2684.43263607,2684.25015835,2670.04078408,2758.16456359,2760.06865077,2770.43761533,2750.69578629,2762.05151669,2759.86824051,2708.53909534,2713.80586612,2710.10336335,2704.87048381
2001-10-01,2768.58740258,2766.90248752,2731.73207903,2738.95114635,2691.03802,2682.5988481,2668.87088626,2667.09508931,2624.00272767,2624.7390812,2626.64954219,2897.07780878,2878.64026619,2889.25466684,2899.19241593,2757.40273991,2761.21645691,2843.59414425,2837.83118235,2836.78714984,2840.9819034,2637.97724165,2629.75778259,2624.11217097,2617.21620639,2671.33979135,2673.17484074,2672.68730207,2679.55686252,2666.22196264,2659.27727917,2656.59828529,2656.45474541,2673.15506565,2670.07060646,2675.19163187,2724.80711832,2732.40359309,2729.70332859,2734.05187679,2677.35450806,2676.40547801,2685.26414508,2681.38994052,2655.05907521,2657.60403515,2648.74461068,2648.61970964,2708.50070895,2759.16158572,2706.87739015,2707.04777727,2715.11048459,2710.47554518,2622.64591757,2613.33803672,2612.83016997,2596.29165541,2790.76455822,2797.50654637,2681.59257188,2673.33362354,2682.13127976,2678.72695216,2751.75226132,2755.62211823,2675.05638547,2656.35436004,2664.27091314,2666.11868965,2714.54592221,2714.65778583,2652.16796545,2653.784146,2653.03870853,2651.30866421,2620.43760366,2627.31843303,2631.59117151,2647.38681031,2692.56011952,2689.62540969,2680.97749579,2676.79847938,2700.97670369,2704.77993855,2690.74183948,2747.31258151,2748.04441022,2757.43627035,2717.86719073,2728.55587345,2729.24207683,2693.24479433,2698.63893116,2695.17399391,2688.45650644
2002-10-01,2814.0215435,2812.32783155,2817.05204563,2825.62526739,2704.19233521,2694.91567709,2681.3120064,2682.3750976,2561.96845145,2561.68048147,2564.24367324,2885.84498387,2868.55869782,2878.00714709,2888.61737513,2712.20180646,2718.43465941,2849.59556189,2842.15951969,2845.97215399,2847.38779483,2581.06960173,2568.903498,2591.46487647,2583.63388783,2597.56094189,2598.83166117,2598.27088426,2604.57908607,2724.46436412,2718.14530774,2715.43645262,2644.13794151,2658.93798576,2658.42793524,2663.99024666,2856.79690538,2864.92218089,2858.66287363,2867.54392553,2646.12337464,2646.50547951,2654.96444854,2652.06967663,2663.30515597,2667.01737246,2661.72941399,2660.14532344,2677.84980529,2852.47026432,2665.79354788,2665.32398918,2671.78288962,2666.77955202,2589.66171572,2579.16539858,2580.17829189,2566.1149534,2771.4551571,2776.69736356,2625.56969143,2616.631782,2625.24655074,2620.64475648,2751.15382942,2751.62502288,2612.78403267,2592.46041042,2600.07623705,2603.73154185,2697.31163742,2695.50681987,2690.68245514,2691.47102691,2692.82449311,2688.64063575,2635.76032027,2644.17313457,2648.50508387,2664.51318465,2677.32789523,2673.18327163,2664.83132496,2660.64692808,2663.85897609,2665.62357603,2652.21238199,2748.84494957,2749.19494638,2760.50661981,2721.52046447,2732.44352549,2731.13116927,2711.22385343,2717.45761893,2713.14611858,2707.55802762
2003-10-01,2775.21034724,2772.49813322,2852.43060152,2859.28866811,2695.40586285,2689.65386049,2672.53583287,2673.66811854,2552.63569657,2551.27256867,2549.50609496,2932.1041997,2915.01084872,2922.52818975,2931.95059448,2702.84863446,2706.62625626,2865.04540769,2857.90813219,2864.26559913,2864.5512868,2597.05247993,2586.83635248,2588.82939545,2583.71190611,2607.09692059,2606.88802589,2607.16944059,2614.96659429,2750.9554594,2748.70571939,2743.7462426,2718.12485267,2734.86676823,2734.32144357,2740.22590113,2839.95808268,2847.82571859,2842.5186087,2851.99305478,2648.65428545,2647.49131809,2657.30425612,2656.49981806,2676.9919705,2679.12156106,2674.89861285,2674.03114451,2701.44458081,2796.83109504,2677.42415696,2675.57777928,2682.81791953,2676.78594414,2622.40055922,2614.99325303,2619.49857072,2601.84738645,2780.51552797,2788.57875951,2543.7801803,2537.47364815,2546.09939112,2538.06660227,2705.26551135,2704.90887326,2581.86486956,2560.50016454,2568.68545816,2572.2768085,2655.42360375,2654.20119941,2699.23991925,2702.89606775,2702.99228206,2696.05800178,2649.40570227,2651.62041387,2660.60915588,2674.43609141,2715.34022393,2711.27846078,2701.41525693,2696.55055003,2664.53254264,2668.24004028,2654.24278403,2837.49511287,2837.28328098,2847.31325173,2661.13760133,2669.96212835,2670.49835011,2776.77215852,2783.11870203,2779.62838706,2774.25815508
2004-10-01,2791.61612906,2787.90304837,2889.08031918,2894.10645842,2687.68470248,2681.86400845,2662.90328611,2666.2527701,2581.50945618,2579.54079913,2576.7464132,2955.16922642,2937.83431542,2948.17584579,2957.91311241,2741.16512564,2743.76507362,2861.39180559,2854.49653874,2859.96005181,2862.57573387,2576.68118232,2566.31084403,2571.59375132,2570.3452397,2681.99565695,2681.52625279,2682.24726273,2691.15112454,2767.41080412,2768.54856604,2765.37775194,2746.51456225,2760.82817746,2762.55945443,2767.76426203,2824.98158749,2833.20536145,2827.48697123,2838.36574486,2686.91959611,2683.7340682,2693.62175375,2692.37875113,2621.51413807,2624.50977152,2619.90023891,2616.0226366,2708.59927717,2789.89248823,2700.6850128,2697.40316746,2705.31407447,2697.67293897,2670.26393233,2664.10209192,2667.285362,2651.70481637,2788.39211562,2798.42210074,2499.54501963,2493.94854706,2503.86136552,2495.5911608,2737.91617269,2737.98408247,2545.75333158,2529.08849726,2532.23322763,2536.10849347,2677.63303116,2677.12458572,2725.81971908,2728.71308972,2726.50322305,2722.90209595,2685.99244046,2687.98466421,2699.52665963,2711.38660227,2717.12206449,2712.27209557,2702.86887195,2697.36069018,2737.83659216,2740.17639821,2727.59474791,2811.140149,2809.61385883,2819.80440566,2683.95194799,2695.15957878,2693.91021183,2793.1546304,2799.9602217,2797.15401019,2792.93321056
2005-10-01,2775.23484118,2762.456149,2841.61694187,2855.16288288,2645.14109417,2629.00164601,2613.37169783,2615.73346824,2577.11229007,2570.72211619,2549.837893,2953.85880762,2916.73577239,2963.78234295,2962.67164555,2760.79416993,2748.70745943,2902.00193155,2892.41202518,2874.14523235,2884.63169591,2577.0907373,2572.46087508,2559.74529458,2575.81027308,2740.04313789,2711.58227715,2743.05695789,2740.10610115,2819.46937634,2805.56819148,2834.6285806,2755.71014953,2770.24286004,2756.54047484,2759.23022323,2785.22244573,2794.29059566,2804.35424649,2836.60765798,2668.84882672,2675.02949906,2681.65501215,2657.52770182,2591.45310047,2582.04637321,2576.19907033,2564.86042235,2639.34965454,2714.01911764,2781.31207069,2777.34096236,2739.07395941,2745.74037622,2621.81152707,2643.42808115,2626.89556583,2612.50824999,2784.83368827,2761.71453741,2519.662823,2468.71507977,2535.32317562,2479.22295258,2774.75120856,2780.87090005,2566.08927424,2511.09617519,2507.76376504,2542.57255802,2678.68124116,2654.61447101,2682.19069409,2688.95135504,2707.4418644,2704.93710648,2742.56197035,2752.9951755,2714.07218172,2731.12600761,2782.84269412,2766.58191771,2727.55517263,2717.45813764,2738.83540942,2725.75262117,2716.4529683,2842.94445379,2790.68731356,2818.10591549,2659.5194139,2697.33455168,2696.02601185,2757.5058455,2755.05926191,2745.63136044,2780.94700417
2006-10-01,2801.20904852,2804.91697153,2793.84449502,2807.98102736,2635.26670922,2657.61355578,2616.61158307,2626.56882633,2574.93799561,2534.2139866,2515.6978501,2989.01601252,2887.19591621,3001.3385127,2959.65432131,2772.10378475,2751.58577688,2939.25383202,2903.32672723,2839.86763932,2869.22422855,2578.89331233,2595.97547027,2527.28581543,2575.02709217,2735.99077878,2667.51338089,2662.8314565,2683.40040803,2837.68093479,2847.40773518,2905.60537738,2872.96409406,2818.55145214,2800.50038684,2841.67716134,2744.7273758,2831.26898658,2826.88157674,2857.88611244,2681.54830162,2664.625944,2688.55511322,2640.81858837,2607.44863448,2609.7323704,2591.37907393,2604.04369791,2676.21581645,2679.08847863,2774.38208542,2784.82662958,2724.20663731,2716.90508318,2615.94613924,2660.59787379,2617.74233465,2669.60538102,2773.87749586,2779.41461408,2493.42867142,2436.69981219,2499.6336137,2413.53647798,2860.12126564,2823.08420861,2556.69401146,2517.61611371,2517.83963346,2549.39693657,2641.86470396,2651.93777351,2713.64521598,2678.92579773,2727.19531245,2721.56659962,2781.76353741,2749.17092647,2732.22026065,2766.12892792,2813.30106573,2795.06709796,2706.66518339,2755.88277214,2680.73817646,2692.24058467,2660.98191057,2841.61995403,2871.78069581,2826.92377248,2655.82839397,2718.57111489,2707.71398952,2774.07487865,2775.02375996,2711.75109561,2789.57261922
2007-10-01,2756.1796256,2814.13486164,2819.77749078,2771.08067186,2642.64496604,2752.72048593,2642.53398682,2626.14301704,2487.60434583,2458.27318759,2425.05863405,2996.97190037,2851.21898321,2987.99403619,2977.31906292,2694.2778777,2697.18672689,2920.84320798,2807.72031562,2759.51837712,2787.19533781,2591.63169049,2613.49304321,2589.43387035,2546.20233452,2664.96840595,2587.06553853,2627.31456309,2697.23338289,2811.76073653,2836.01035927,2877.48217957,2885.97636002,2833.6628926,2859.39155766,2849.42092964,2711.33782982,2821.20124516,2844.53192189,2852.93165684,2620.59091143,2609.36157883,2621.95478847,2523.63234706,2605.39273629,2565.05306731,2586.04425809,2555.78952251,2686.33434454,2700.59842195,2790.70969962,2769.55137748,2754.34567972,2786.14302926,2636.06661878,2622.12455651,2638.76238231,2635.98530709,2811.09460722,2757.80167411,2463.25037383,2451.75407502,2497.28838251,2407.88635254,2931.92793391,2840.29935085,2466.02920745,2422.85463105,2465.97507045,2512.83572667,2605.73506573,2598.35887486,2661.58583463,2648.52875186,2705.6033992,2693.7928536,2749.95298275,2713.9484454,2738.85393441,2777.67589375,2766.95942461,2793.92223176,2646.58113255,2793.34851261,2641.95351041,2650.5612936,2715.97416194,2770.62939364,2811.7240253,2842.52696461,2669.51401532,2718.6376788,2747.47887438,2779.26847883,2724.83988341,2688.78005812,2741.82111769
2008-10-01,2745.09936361,2805.05609063,2887.72425884,2803.23020045,2635.89522668,2792.08033637,2655.76602806,2622.49431863,2521.41518056,2572.05730221,2527.41909717,3036.35065374,2830.62330775,2949.60241282,2967.84040966,2764.36874326,2752.81614328,2939.76422743,2807.98633377,2797.77626003,2768.71559244,2589.65193099,2590.33050741,2615.80464053,2588.363001,2674.70208845,2605.24192075,2661.50507624,2691.08755015,2860.9891312,2809.49304653,2870.49479053,2832.89510486,2820.8000458,2847.49815772,2858.8846203,2738.80717926,2862.24502711,2916.82273628,2904.61917555,2620.45468515,2608.18170043,2623.25204163,2509.02241086,2610.67313358,2595.97582403,2576.58260309,2557.92457708,2692.52974691,2738.65174342,2816.95489857,2807.95978704,2710.44509239,2795.17506226,2576.51965237,2575.30419441,2583.26740137,2583.72101392,2730.09544341,2724.9433547,2502.49888302,2467.99217495,2503.35577955,2412.71655554,2961.2300945,2884.61228682,2447.39588531,2325.22412572,2430.42920081,2498.10021251,2636.38817856,2628.62348269,2704.66431546,2675.09673621,2736.09254921,2729.8065621,2756.37843843,2657.02453923,2702.10239766,2740.14822039,2775.99627683,2759.17165688,2589.88342077,2753.15076956,2665.68247165,2746.90781883,2730.36089206,2731.51888228,2754.66304671,2806.66768667,2711.25166005,2715.59246592,2744.70703763,2783.25250737,2723.43334853,2695.02824915,2736.11598187
2009-10-01,2694.40763163,2826.30517194,2855.4576502,2797.63040082,2635.94971131,2733.71480724,2599.28464545,2587.67375424,2508.58831054,2542.13873372,2544.65076333,3035.35716309,2802.37286417,2940.0321879,2949.53120596,2754.83963291,2763.72037848,2917.66267006,2787.17296551,2783.26122653,2753.17389406,2598.41377569,2629.04863679,2593.38149919,2535.31450634,2609.02254462,2542.26378012,2682.79371141,2629.7534071,2890.86400903,2840.75551316,2928.39467742,2918.10890106,2864.13041424,2876.43858467,2939.3099808,2730.58052351,2846.15742079,2880.50208418,2857.14686547,2623.9146269,2626.98628491,2689.99516813,2522.15549095,2528.56394807,2486.73155731,2507.85323464,2489.8416317,2628.68983636,2759.72030494,2905.24098992,2824.32626624,2747.49104852,2815.28765103,2557.30913835,2515.41154365,2521.26851681,2512.47055886,2747.87544824,2767.73867927,2519.00311524,2443.26100114,2528.36813976,2455.58545068,3041.54618553,2917.51119535,2422.47434273,2326.74441298,2436.99825849,2478.90654405,2640.15715771,2646.10910518,2660.7313214,2686.27546299,2699.44908233,2701.29300726,2703.00894002,2683.63625769,2671.17972754,2778.32204079,2746.76641865,2763.16835287,2560.46885367,2743.03805373,2651.84662417,2699.16899638,2719.97205815,2759.72688134,2773.1551633,2797.89755217,2741.36828794,2688.53454461,2720.47082076,2772.33992605,2702.12607146,2714.62955475,2727.43927504
