datetime,access1-0_rcp45_r1i1p1,access1-0_rcp85_r1i1p1,bcc-csm1-1-m_rcp45_r1i1p1,bcc-csm1-1-m_rcp85_r1i1p1,bcc-csm1-1_rcp26_r1i1p1,bcc-csm1-1_rcp45_r1i1p1,bcc-csm1-1_rcp60_r1i1p1,bcc-csm1-1_rcp85_r1i1p1,canesm2_rcp26_r1i1p1,canesm2_rcp45_r1i1p1,canesm2_rcp85_r1i1p1,ccsm4_rcp26_r1i1p1,ccsm4_rcp45_r1i1p1,ccsm4_rcp60_r1i1p1,ccsm4_rcp85_r1i1p1,cesm1-bgc_rcp45_r1i1p1,cesm1-bgc_rcp85_r1i1p1,cesm1-cam5_rcp26_r1i1p1,cesm1-cam5_rcp45_r1i1p1,cesm1-cam5_rcp60_r1i1p1,cesm1-cam5_rcp85_r1i1p1,cmcc-cm_rcp45_r1i1p1,cmcc-cm_rcp85_r1i1p1,cnrm-cm5_rcp45_r1i1p1,cnrm-cm5_rcp85_r1i1p1,csiro-mk3-6-0_rcp26_r1i1p1,csiro-mk3-6-0_rcp45_r1i1p1,csiro-mk3-6-0_rcp60_r1i1p1,csiro-mk3-6-0_rcp85_r1i1p1,fgoals-g2_rcp26_r1i1p1,fgoals-g2_rcp45_r1i1p1,fgoals-g2_rcp85_r1i1p1,fio-esm_rcp26_r1i1p1,fio-esm_rcp45_r1i1p1,fio-esm_rcp60_r1i1p1,fio-esm_rcp85_r1i1p1,gfdl-cm3_rcp26_r1i1p1,gfdl-cm3_rcp45_r1i1p1,gfdl-cm3_rcp60_r1i1p1,gfdl-cm3_rcp85_r1i1p1,gfdl-esm2g_rcp26_r1i1p1,gfdl-esm2g_rcp45_r1i1p1,gfdl-esm2g_rcp60_r1i1p1,gfdl-esm2g_rcp85_r1i1p1,gfdl-esm2m_rcp26_r1i1p1,gfdl-esm2m_rcp45_r1i1p1,gfdl-esm2m_rcp60_r1i1p1,gfdl-esm2m_rcp85_r1i1p1,giss-e2-h-cc_rcp45_r1i1p1,giss-e2-r-cc_rcp45_r1i1p1,giss-e2-r_rcp26_r1i1p1,giss-e2-r_rcp45_r1i1p1,giss-e2-r_rcp60_r1i1p1,giss-e2-r_rcp85_r1i1p1,hadgem2-ao_rcp26_r1i1p1,hadgem2-ao_rcp45_r1i1p1,hadgem2-ao_rcp60_r1i1p1,hadgem2-ao_rcp85_r1i1p1,hadgem2-cc_rcp45_r1i1p1,hadgem2-cc_rcp85_r1i1p1,hadgem2-es_rcp26_r1i1p1,hadgem2-es_rcp45_r1i1p1,hadgem2-es_rcp60_r1i1p1,hadgem2-es_rcp85_r1i1p1,inmcm4_rcp45_r1i1p1,inmcm4_rcp85_r1i1p1,ipsl-cm5a-mr_rcp26_r1i1p1,ipsl-cm5a-mr_rcp45_r1i1p1,ipsl-cm5a-mr_rcp60_r1i1p1,ipsl-cm5a-mr_rcp85_r1i1p1,ipsl-cm5b-lr_rcp45_r1i1p1,ipsl-cm5b-lr_rcp85_r1i1p1,miroc5_rcp26_r1i1p1,miroc5_rcp45_r1i1p1,miroc5_rcp60_r1i1p1,miroc5_rcp85_r1i1p1,miroc-esm-chem_rcp26_r1i1p1,miroc-esm-chem_rcp45_r1i1p1,miroc-esm-chem_rcp60_r1i1p1,miroc-esm-chem_rcp85_r1i1p1,miroc-esm_rcp26_r1i1p1,miroc-esm_rcp45_r1i1p1,miroc-esm_rcp60_r1i1p1,miroc-esm_rcp85_r1i1p1,mpi-esm-lr_rcp26_r1i1p1,mpi-esm-lr_rcp45_r1i1p1,mpi-esm-lr_rcp85_r1i1p1,mpi-esm-mr_rcp26_r1i1p1,mpi-esm-mr_rcp45_r1i1p1,mpi-esm-mr_rcp85_r1i1p1,mri-cgcm3_rcp26_r1i1p1,mri-cgcm3_rcp45_r1i1p1,mri-cgcm3_rcp85_r1i1p1,noresm1-m_rcp26_r1i1p1,noresm1-m_rcp45_r1i1p1,noresm1-m_rcp60_r1i1p1,noresm1-m_rcp85_r1i1p1
2000-10-01,159.184625678,175.535268246,171.010502258,157.290930767,133.170314823,177.840679694,94.1651772638,127.161743037,127.213465098,230.357418161,140.363877742,163.175802099,154.179269377,165.319940093,161.17472591,176.499643463,222.666155106,126.770263133,195.500046731,186.253085608,168.193247621,196.357717585,233.456613736,196.472173459,113.891607647,199.427816789,307.866906855,155.838340554,208.200514995,160.958911084,147.029842677,215.150508876,173.516357681,149.772389262,217.072084514,168.225666775,180.178923874,179.328068552,155.01137033,190.729702818,167.403153303,196.333568078,177.484629693,175.246949323,207.17210453,184.072273797,158.279062991,184.181816245,143.482157621,177.122957235,173.548474178,122.210753735,165.560665879,170.502088932,151.416180659,149.529372171,124.224671182,164.333585441,117.333542898,130.260091389,226.998449186,161.590370614,158.376339028,201.896069259,178.550219778,236.94332039,150.61201523,185.726955792,148.157767313,122.669243554,211.746972858,155.51905655,195.186688899,146.759396475,168.497609568,199.187528794,260.795484819,250.085293229,157.138369014,156.518435226,160.178265431,131.997889591,208.162572867,144.4733675,150.1510646,192.636333263,184.604299762,205.772214095,141.503461584,112.868232698,190.873040163,148.196996266,143.506236904,238.56808887,174.503706615,187.834533011,165.349866166
2001-10-01,162.949532133,178.297838593,178.024350062,155.404082986,132.041842484,174.989176334,94.0370439424,125.356676078,122.138036773,230.971084775,140.104710441,162.224533106,159.955557464,181.439643736,161.785185063,183.340392543,221.88874586,171.133840611,215.12365569,204.896292189,217.377583189,195.885574336,232.041685486,193.079860753,113.34157239,195.804735104,305.021190681,157.758300187,208.100958498,180.689491546,147.880530714,236.466445775,172.218967114,147.126521376,229.333058043,209.771911826,180.374054324,176.851543098,155.265135131,193.895058728,169.324304813,192.380545009,178.819049885,176.558644263,203.735415297,181.693609659,156.382743857,179.959259502,188.532416421,174.771732714,170.716268902,120.356579553,162.683537756,167.673339185,148.615229154,149.998962909,125.733514701,164.283288628,116.004005819,129.615120272,222.746909637,163.377507721,157.512851523,200.268475614,188.754745761,253.720845072,150.631378693,187.608717718,148.054232712,125.707829977,216.405074081,157.710420242,194.84353162,156.796905994,178.280286472,211.491797923,256.10927814,245.968829338,154.420195863,157.646765419,158.324347639,130.439181172,207.204924293,143.238042405,148.741478282,192.326816098,181.246967846,209.143959112,143.202896355,115.067550389,192.341654744,150.835794586,141.137485153,241.529401355,176.302686131,191.580694257,164.743714014
2002-10-01,160.149323592,174.865578081,183.576281616,165.928040721,130.357192694,172.260278115,93.4644071941,123.40600269,119.672093734,229.130181252,137.147703457,159.696222972,158.549215174,179.862236194,159.514717266,189.840934272,217.377122532,168.868620372,212.620773567,201.39860494,213.135159441,193.438804787,230.47570015,193.061588352,113.849503547,197.106615985,306.313934184,159.680672917,205.362083959,184.055744032,167.286785829,238.19282331,170.322289424,146.854574133,224.0562186,205.374441362,210.957091486,186.538324182,165.557965246,217.701764562,185.65401678,201.993918013,221.604227895,187.176544547,199.688037216,178.175755253,154.121040873,176.925057619,192.125432018,176.291085908,171.791511618,122.062810931,163.616889287,168.577846429,146.083899217,147.090690385,124.240881297,163.826329512,114.31161419,127.626429804,222.579536158,164.111355269,156.662368058,201.869803499,184.879171462,248.304598367,152.66737805,188.580612774,148.517670525,129.055135471,211.629008326,157.912117325,197.580304164,154.483789706,174.391386349,206.67010782,251.350165851,242.468040198,152.415461189,162.973284556,155.364189321,129.3733432,203.128529667,141.361656417,147.060498673,188.894199686,183.738415539,205.564761879,141.252682621,113.123792826,196.497345079,148.012119329,138.685325923,240.13194832,172.799289201,187.700172687,164.959474964
2003-10-01,157.879155044,175.631628973,180.750292954,163.005431674,128.159683207,169.049546896,94.9678990958,121.627391484,117.267181144,224.910234104,137.439545793,158.676408935,160.516595981,176.454600511,156.638616257,188.021950129,214.688299997,167.648902621,210.856535745,199.413863638,210.013007146,190.196606368,227.347728668,191.162213462,112.622297249,193.015570738,302.755143486,156.598372128,213.135985331,181.002282265,173.994630196,233.56689443,173.875798422,151.760025433,220.524268899,223.262026806,209.02643371,182.668579717,162.130403942,213.556893358,186.144998503,197.982094955,219.188835547,186.292245089,198.966850095,181.598456873,153.783510528,177.936959457,187.828921341,175.823614819,169.652195497,122.31643493,162.576698988,166.29212312,148.537131384,153.149541984,127.043699726,167.011641977,124.352942428,133.232184528,221.168201955,164.493022732,158.273456062,203.526063407,182.913604807,251.070098585,149.783682305,185.627126344,147.277069385,126.756408626,210.157162821,157.157818215,193.710318071,155.461663728,176.692998206,204.198555461,246.902043707,245.793473704,150.048044998,160.063111013,152.541203574,127.160686063,200.369245623,140.052831631,146.642280658,187.502954228,184.247428825,224.322993172,146.829387971,112.903467691,197.09321967,145.305252385,136.335994281,234.773927153,169.434516907,183.651141071,162.421906309
2004-10-01,159.40090793,172.602778411,186.046850279,163.346395477,130.734677691,170.723513188,97.3399101692,124.80192436,117.936734576,223.835139621,138.155389302,157.243546509,157.99056772,174.715680641,154.86815673,191.502965881,222.842476258,168.537408429,211.746870563,196.200741805,208.995778164,190.217865311,222.948478064,191.443351966,111.619452761,205.9940734,297.75836829,158.661345822,227.245724416,181.093390939,171.236243359,229.644998149,172.382626633,148.752509509,216.915848529,218.012685794,205.352358024,179.4989827,161.085388203,213.080227188,182.871919982,195.316285792,215.12979615,184.035795958,194.658740136,178.208708428,160.117439222,174.90174593,185.224901643,177.302679424,166.618635308,120.438050048,160.395342173,166.134995847,148.256750868,152.894994728,126.332991917,165.97589793,136.929650734,136.7154608,217.395492917,163.096383079,160.294800863,203.510736534,183.246440028,252.784287834,151.536681944,185.241523297,147.925370803,126.445844833,208.502205288,155.251830054,189.6234317,153.448062023,174.229528685,201.437438205,242.137885619,245.067153057,148.300541223,161.172947514,150.938571507,125.074267277,197.767167212,138.571087993,148.543471612,189.86490324,183.079191531,220.26671077,144.889766027,111.243549646,194.769578005,142.723072622,135.164900434,234.694925613,169.85044137,179.82600285,163.041334148
2005-10-01,156.180824352,183.157733162,191.301109345,167.678887194,129.881167315,175.202384845,98.4683022866,122.831812144,115.685418432,219.099001626,135.969490874,154.631774494,157.626815894,171.755632922,156.756715903,187.880500929,219.641828491,165.950253322,210.146812614,193.000174256,205.560449197,186.718755656,221.271579073,191.066008042,110.072561618,203.425328242,299.186752367,157.57328091,232.368059855,180.305160464,172.986748222,224.707458158,176.020036583,147.275160064,211.880341144,213.060789124,203.255691482,176.05594509,157.750852568,219.314073711,179.856319051,196.025587224,212.039943425,185.515905037,195.694383557,180.776794575,158.433230041,178.847431242,184.455606983,176.120314151,166.721324053,125.878022543,159.734466694,164.495202683,149.040210586,151.099298858,124.715615324,164.44100719,138.534651705,125.757091711,214.193426878,160.433156407,158.950561244,199.711583665,183.645878994,277.775363451,164.140185584,187.75517031,149.402664451,124.080526027,204.21744747,155.712830573,189.566320954,157.143545534,173.237306064,199.648138843,244.821467305,245.488924771,145.947343654,170.531784807,148.362997173,123.823203929,194.342813176,136.533438609,146.25548748,186.526919044,182.635061196,215.851843962,144.052853751,109.688038836,192.291111691,140.336796136,134.611639777,232.012857257,170.868199122,180.718819171,163.176896442
2006-10-01,155.173743932,180.544177312,195.244636817,170.789158787,127.709113352,172.134415958,98.6120572302,122.823068237,115.120572195,224.825133083,138.69389932,151.918174385,160.804377687,168.696105647,160.044938033,184.888924851,221.193832932,163.437246903,207.252605229,191.746020422,204.547016187,185.710363781,217.144999529,187.920167753,110.915144615,202.909863494,337.831570585,161.565537994,232.811943096,183.562009973,170.806943462,231.253345255,173.545695111,146.164979476,211.199939133,222.337398269,207.054169687,176.225224588,158.787475377,215.486233591,183.55423388,194.593259312,210.316699155,182.831099347,191.625499788,204.642725158,155.648257572,178.964016286,180.602579742,173.783523587,164.959576313,125.672089852,159.743524448,165.545198196,150.883473907,148.59251776,126.739050039,165.591308013,136.570623001,123.610118624,237.14072291,158.792311692,158.128239016,176.352717284,213.937802416,278.056908508,161.988962573,185.332297517,147.397447058,122.932232861,197.478105955,152.963924901,189.277042569,154.203521624,169.696124963,199.166724542,242.394904349,244.882200695,143.826712894,172.237480578,151.762995957,125.502709325,193.049336144,148.878606704,144.809965112,184.291012558,179.408796712,216.811969828,155.403499468,113.275462096,188.477284963,137.973074538,134.767588758,227.140702412,168.994539892,183.459072846,165.516914749
2007-10-01,158.552330499,178.124957526,192.150614963,167.432317573,130.988661966,174.046539825,97.2358437536,126.913636036,113.342138758,219.846235094,140.721244353,149.321448652,129.607469326,168.659917918,160.299124545,185.239099491,217.355721363,171.460513042,206.231955819,188.808378492,204.692269705,186.18647396,213.179275913,206.957947202,98.5530644439,207.624259987,337.775142679,159.56987952,229.283351692,180.136878152,174.990248305,234.702183643,171.333810186,143.617376868,214.951511712,217.790866302,202.88669172,173.053646826,156.179373977,212.963245921,181.004912689,191.076076223,207.499425843,155.812514344,187.762329064,206.760358277,167.921996115,183.471326942,177.731359747,170.853798234,163.441107668,126.786861509,158.046734347,167.576212398,150.080080981,149.470099808,124.969150216,168.34164746,140.971865504,123.493568625,233.995766523,156.961490113,157.473800802,174.172275194,216.626059655,280.432090269,163.820156052,187.038826044,145.610839695,126.707349181,193.638585257,154.982565953,187.809776487,152.315940071,166.701441812,195.152898051,243.94274223,246.028574085,141.66179011,170.609957005,151.310169232,124.522874621,171.578580593,148.658236842,142.722661803,184.752686847,192.435262221,220.01859947,153.000607104,111.991720204,184.846961043,135.820718447,133.209130897,222.820558825,171.223338839,181.018358285,166.660423614
2008-10-01,157.342848996,178.222923678,200.65315181,171.771050429,133.751360506,171.384445796,100.962833278,130.099574575,111.325657328,225.494285303,154.051156935,146.866259348,130.512904627,147.473193026,163.941813242,190.254111411,214.234218867,169.164061632,207.132222267,187.976607742,205.282411496,183.084050532,209.560331579,204.25688926,97.3773047164,207.458743058,335.151374659,161.468552402,226.725794392,177.206325446,176.193616264,232.165427427,177.888999244,141.330686598,210.554291731,215.034828058,199.383969802,170.954907733,153.619942556,209.096437378,178.088741417,187.949582755,208.675380154,157.803159084,184.067164423,202.858127484,168.072385036,179.932292835,179.054374507,168.333633737,187.858239709,135.404997665,156.935873491,165.014958861,147.550057953,169.479100815,123.047189735,165.23980052,142.014029643,123.972956467,229.675543973,155.761790067,156.840046999,171.679246587,217.469978938,275.566355204,198.899730437,164.556027129,143.738902445,131.920486602,190.827924486,152.487484292,184.866786304,150.034062808,166.644372428,194.425229209,267.191354291,244.065180807,142.93150678,170.609167826,149.442683619,125.314231777,175.633859995,150.680035726,141.966771753,188.173047399,189.711907712,219.068547607,153.680327135,110.490550323,182.006002209,137.014443361,134.815658486,222.054481261,170.659947742,178.095530453,167.252102481
2009-10-01,156.256615693,186.711089667,202.57770518,169.467815031,133.96545635,173.274190253,100.213108812,128.379123487,112.386849242,226.521234835,155.088324536,144.55769652,128.261413453,145.098471866,161.247642683,190.592881824,214.040532517,167.385948841,205.78613178,185.664594359,202.330642263,180.117720976,206.143034396,209.201093307,97.1040072765,210.403176677,337.743367239,166.058684665,227.947862875,175.717764222,172.936886792,229.017418264,183.524309321,139.1979611,207.85101592,214.415361077,195.381326186,167.667777002,151.610128699,212.749402894,178.460415419,188.200534497,205.810755075,160.511543891,181.797221045,199.229538674,168.658506815,176.81020166,181.704096715,168.032086842,186.444899578,136.665993231,154.760060518,162.527001386,147.969221372,173.214609935,124.366641719,162.501584303,139.446215679,121.71498955,227.107185928,157.164278032,155.763789049,174.953012538,216.178598132,278.571818308,199.244088148,161.410627278,141.345288627,133.732701776,187.099675987,150.680851422,183.304281813,148.053582004,164.751834177,190.669008106,268.71122034,239.99395642,141.039403445,173.401873275,147.413115548,123.578758967,177.322642756,148.81738164,140.204595714,185.643347547,186.493016132,215.229387475,151.931494136,110.420433986,180.023891815,139.040832588,136.292287166,219.46836005,167.887245839,174.60094749,165.142079673
